PERMNO,date,TICKER,COMNAM,CUSIP,PRC
10078,20070131,SUNW,SUN MICROSYSTEMS INC,86681020,6.64
10078,20070228,SUNW,SUN MICROSYSTEMS INC,86681020,6.13
10078,20070330,SUNW,SUN MICROSYSTEMS INC,86681020,6.01
10078,20070430,SUNW,SUN MICROSYSTEMS INC,86681020,5.22
10078,20070531,SUNW,SUN MICROSYSTEMS INC,86681020,5.1001
10078,20070629,SUNW,SUN MICROSYSTEMS INC,86681020,5.26
10078,20070731,SUNW,SUN MICROSYSTEMS INC,86681020,5.1
10078,20070831,JAVA,SUN MICROSYSTEMS INC,86681020,5.36
10078,20070928,JAVA,SUN MICROSYSTEMS INC,86681020,5.62
10078,20071031,JAVA,SUN MICROSYSTEMS INC,86681020,5.71
10078,20071130,JAVA,SUN MICROSYSTEMS INC,86681020,20.78
10078,20071231,JAVA,SUN MICROSYSTEMS INC,86681020,18.13
10078,20080131,JAVA,SUN MICROSYSTEMS INC,86681020,17.5
10078,20080229,JAVA,SUN MICROSYSTEMS INC,86681020,16.4
10078,20080331,JAVA,SUN MICROSYSTEMS INC,86681020,15.53
10078,20080430,JAVA,SUN MICROSYSTEMS INC,86681020,15.66
10078,20080530,JAVA,SUN MICROSYSTEMS INC,86681020,12.95
10078,20080630,JAVA,SUN MICROSYSTEMS INC,86681020,10.88
10078,20080731,JAVA,SUN MICROSYSTEMS INC,86681020,10.63
10078,20080829,JAVA,SUN MICROSYSTEMS INC,86681020,9
10078,20080930,JAVA,SUN MICROSYSTEMS INC,86681020,7.6
10078,20081031,JAVA,SUN MICROSYSTEMS INC,86681020,4.6
10078,20081128,JAVA,SUN MICROSYSTEMS INC,86681020,3.17
10078,20081231,JAVA,SUN MICROSYSTEMS INC,86681020,3.82
10078,20090130,JAVA,SUN MICROSYSTEMS INC,86681020,4.16
10078,20090227,JAVA,SUN MICROSYSTEMS INC,86681020,4.68
10078,20090331,JAVA,SUN MICROSYSTEMS INC,86681020,7.32
10078,20090430,JAVA,SUN MICROSYSTEMS INC,86681020,9.16
10078,20090529,JAVA,SUN MICROSYSTEMS INC,86681020,9
10078,20090630,JAVA,SUN MICROSYSTEMS INC,86681020,9.22
10078,20090731,JAVA,SUN MICROSYSTEMS INC,86681020,9.17
10078,20090831,JAVA,SUN MICROSYSTEMS INC,86681020,9.28
10078,20090930,JAVA,SUN MICROSYSTEMS INC,86681020,9.09
10078,20091030,JAVA,SUN MICROSYSTEMS INC,86681020,8.18
10078,20091130,JAVA,SUN MICROSYSTEMS INC,86681020,8.51
10078,20091231,JAVA,SUN MICROSYSTEMS INC,86681020,9.37
10078,20100129,JAVA,SUN MICROSYSTEMS INC,86681020,
10104,20070131,ORCL,ORACLE CORP,68389X10,17.16
10104,20070228,ORCL,ORACLE CORP,68389X10,16.43
10104,20070330,ORCL,ORACLE CORP,68389X10,18.13
10104,20070430,ORCL,ORACLE CORP,68389X10,18.8
10104,20070531,ORCL,ORACLE CORP,68389X10,19.38
10104,20070629,ORCL,ORACLE CORP,68389X10,19.71
10104,20070731,ORCL,ORACLE CORP,68389X10,19.12
10104,20070831,ORCL,ORACLE CORP,68389X10,20.28
10104,20070928,ORCL,ORACLE CORP,68389X10,21.65
10104,20071031,ORCL,ORACLE CORP,68389X10,22.17
10104,20071130,ORCL,ORACLE CORP,68389X10,20.18
10104,20071231,ORCL,ORACLE CORP,68389X10,22.58
10104,20080131,ORCL,ORACLE CORP,68389X10,20.55
10104,20080229,ORCL,ORACLE CORP,68389X10,18.8
10104,20080331,ORCL,ORACLE CORP,68389X10,19.56
10104,20080430,ORCL,ORACLE CORP,68389X10,20.85
10104,20080530,ORCL,ORACLE CORP,68389X10,22.84
10104,20080630,ORCL,ORACLE CORP,68389X10,21
10104,20080731,ORCL,ORACLE CORP,68389X10,21.53
10104,20080829,ORCL,ORACLE CORP,68389X10,21.93
10104,20080930,ORCL,ORACLE CORP,68389X10,20.31
10104,20081031,ORCL,ORACLE CORP,68389X10,18.29
