gvkey,iid,datadate,tic,cusip,conm,trt1m
1013,1,20100131,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,-14.4928
1013,1,20100228,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,19.3974
1013,1,20100331,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,15.2997
1013,1,20100430,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,9.4391
1013,1,20100531,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,3.25
1013,1,20100630,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,-10.2906
1013,1,20100731,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,71.7949
1013,1,20100831,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,-0.3928
1013,1,20100930,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,-0.0789
1013,1,20101031,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,0.1579
1013,1,20101130,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,0.2364
1013,1,20101231,ADCT.1,886309,ADC TELECOMMUNICATIONS INC,0.2358
1161,1,20100131,AMD,7903107,ADVANCED MICRO DEVICES,-22.9339
1161,1,20100228,AMD,7903107,ADVANCED MICRO DEVICES,6.0322
1161,1,20100331,AMD,7903107,ADVANCED MICRO DEVICES,17.1934
1161,1,20100430,AMD,7903107,ADVANCED MICRO DEVICES,-2.1575
1161,1,20100531,AMD,7903107,ADVANCED MICRO DEVICES,-5.5127
1161,1,20100630,AMD,7903107,ADVANCED MICRO DEVICES,-14.5858
1161,1,20100731,AMD,7903107,ADVANCED MICRO DEVICES,2.3224
1161,1,20100831,AMD,7903107,ADVANCED MICRO DEVICES,-25.1001
1161,1,20100930,AMD,7903107,ADVANCED MICRO DEVICES,26.738
1161,1,20101031,AMD,7903107,ADVANCED MICRO DEVICES,3.1646
1161,1,20101130,AMD,7903107,ADVANCED MICRO DEVICES,-0.6135
1161,1,20101231,AMD,7903107,ADVANCED MICRO DEVICES,12.2085
1161,1,20110131,AMD,7903107,ADVANCED MICRO DEVICES,-4.2787
1161,1,20110228,AMD,7903107,ADVANCED MICRO DEVICES,17.6245
1161,1,20110331,AMD,7903107,ADVANCED MICRO DEVICES,-6.6232
1161,1,20110430,AMD,7903107,ADVANCED MICRO DEVICES,5.814
1161,1,20110531,AMD,7903107,ADVANCED MICRO DEVICES,-4.6154
1161,1,20110630,AMD,7903107,ADVANCED MICRO DEVICES,-19.47
1161,1,20110731,AMD,7903107,ADVANCED MICRO DEVICES,5.0072
1161,1,20110831,AMD,7903107,ADVANCED MICRO DEVICES,-6.9482
1161,1,20110930,AMD,7903107,ADVANCED MICRO DEVICES,-25.6223
1161,1,20111031,AMD,7903107,ADVANCED MICRO DEVICES,14.7638
1161,1,20111130,AMD,7903107,ADVANCED MICRO DEVICES,-2.4014
1161,1,20111231,AMD,7903107,ADVANCED MICRO DEVICES,-5.0967
1161,1,20120131,AMD,7903107,ADVANCED MICRO DEVICES,24.2593
1161,1,20120229,AMD,7903107,ADVANCED MICRO DEVICES,9.538
1161,1,20120331,AMD,7903107,ADVANCED MICRO DEVICES,9.1156
1161,1,20120430,AMD,7903107,ADVANCED MICRO DEVICES,-8.2294
1161,1,20120531,AMD,7903107,ADVANCED MICRO DEVICES,-17.3913
1161,1,20120630,AMD,7903107,ADVANCED MICRO DEVICES,-5.7566
1161,1,20120731,AMD,7903107,ADVANCED MICRO DEVICES,-29.1449
1161,1,20120831,AMD,7903107,ADVANCED MICRO DEVICES,-8.3744
1161,1,20120930,AMD,7903107,ADVANCED MICRO DEVICES,-9.4086
1161,1,20121031,AMD,7903107,ADVANCED MICRO DEVICES,-39.1691
1161,1,20121130,AMD,7903107,ADVANCED MICRO DEVICES,7.3171
1161,1,20121231,AMD,7903107,ADVANCED MICRO DEVICES,9.0909
1161,1,20130131,AMD,7903107,ADVANCED MICRO DEVICES,8.3333
1161,1,20130228,AMD,7903107,ADVANCED MICRO DEVICES,-4.2308
1161,1,20130331,AMD,7903107,ADVANCED MICRO DEVICES,2.4096
1161,1,20130430,AMD,7903107,ADVANCED MICRO DEVICES,10.5882
1161,1,20130531,AMD,7903107,ADVANCED MICRO DEVICES,41.844
1161,1,20130630,AMD,7903107,ADVANCED MICRO DEVICES,2
1161,1,20130731,AMD,7903107,ADVANCED MICRO DEVICES,-7.598
1161,1,20130831,AMD,7903107,ADVANCED MICRO DEVICES,-13.2626
1161,1,20130930,AMD,7903107,ADVANCED MICRO DEVICES,16.5138
1161,1,20131031,AMD,7903107,ADVANCED MICRO DEVICES,-12.336
1161,1,20131130,AMD,7903107,ADVANCED MICRO DEVICES,8.982
1161,1,20131231,AMD,7903107,ADVANCED MICRO DEVICES,6.3187
1161,1,20140131,AMD,7903107,ADVANCED MICRO DEVICES,-11.3695
1161,1,20140228,AMD,7903107,ADVANCED MICRO DEVICES,8.1633
1161,1,20140331,AMD,7903107,ADVANCED MICRO DEVICES,8.0863
1161,1,20140430,AMD,7903107,ADVANCED MICRO DEVICES,1.995
1161,1,20140531,AMD,7903107,ADVANCED MICRO DEVICES,-2.2005
1161,1,20140630,AMD,7903107,ADVANCED MICRO DEVICES,4.75
1161,1,20140731,AMD,7903107,ADVANCED MICRO DEVICES,-6.6826
1161,1,20140831,AMD,7903107,ADVANCED MICRO DEVICES,6.6496
1161,1,20140930,AMD,7903107,ADVANCED MICRO DEVICES,-18.2254
1161,1,20141031,AMD,7903107,ADVANCED MICRO DEVICES,-17.8886
1161,1,20141130,AMD,7903107,ADVANCED MICRO DEVICES,-0.3571
1161,1,20141231,AMD,7903107,ADVANCED MICRO DEVICES,-4.3011
1161,1,20150131,AMD,7903107,ADVANCED MICRO DEVICES,-3.7453
1161,1,20150228,AMD,7903107,ADVANCED MICRO DEVICES,21.0117
1161,1,20150331,AMD,7903107,ADVANCED MICRO DEVICES,-13.8264
1161,1,20150430,AMD,7903107,ADVANCED MICRO DEVICES,-15.6716
1161,1,20150531,AMD,7903107,ADVANCED MICRO DEVICES,0.885
1161,1,20150630,AMD,7903107,ADVANCED MICRO DEVICES,5.2632
1161,1,20150731,AMD,7903107,ADVANCED MICRO DEVICES,-19.5833
1161,1,20150831,AMD,7903107,ADVANCED MICRO DEVICES,-6.2176
1161,1,20150930,AMD,7903107,ADVANCED MICRO DEVICES,-4.9724
1161,1,20151031,AMD,7903107,ADVANCED MICRO DEVICES,23.2558
1161,1,20151130,AMD,7903107,ADVANCED MICRO DEVICES,11.3208
1161,1,20151231,AMD,7903107,ADVANCED MICRO DEVICES,21.6102
1161,1,20160131,AMD,7903107,ADVANCED MICRO DEVICES,-23.3449
1161,1,20160229,AMD,7903107,ADVANCED MICRO DEVICES,-2.7273
1161,1,20160331,AMD,7903107,ADVANCED MICRO DEVICES,33.1776
1161,1,20160430,AMD,7903107,ADVANCED MICRO DEVICES,24.5614
1161,1,20160531,AMD,7903107,ADVANCED MICRO DEVICES,28.7324
1161,1,20160630,AMD,7903107,ADVANCED MICRO DEVICES,12.4726
1161,1,20160731,AMD,7903107,ADVANCED MICRO DEVICES,33.463
1161,1,20160831,AMD,7903107,ADVANCED MICRO DEVICES,7.8717
1161,1,20160930,AMD,7903107,ADVANCED MICRO DEVICES,-6.6216
1161,1,20161031,AMD,7903107,ADVANCED MICRO DEVICES,4.631
1161,1,20161130,AMD,7903107,ADVANCED MICRO DEVICES,23.2365
1161,1,20161231,AMD,7903107,ADVANCED MICRO DEVICES,27.2727
1161,1,20170131,AMD,7903107,ADVANCED MICRO DEVICES,-8.5538
1161,1,20170228,AMD,7903107,ADVANCED MICRO DEVICES,39.4407
1161,1,20170331,AMD,7903107,ADVANCED MICRO DEVICES,0.6224
1161,1,20170430,AMD,7903107,ADVANCED MICRO DEVICES,-8.5911
1161,1,20170531,AMD,7903107,ADVANCED MICRO DEVICES,-15.8647
1161,1,20170630,AMD,7903107,ADVANCED MICRO DEVICES,11.5282
1161,1,20170731,AMD,7903107,ADVANCED MICRO DEVICES,9.0545
1161,1,20170831,AMD,7903107,ADVANCED MICRO DEVICES,-4.482
1161,1,20170930,AMD,7903107,ADVANCED MICRO DEVICES,-1.9231
1161,1,20171031,AMD,7903107,ADVANCED MICRO DEVICES,-13.8431
1161,1,20171130,AMD,7903107,ADVANCED MICRO DEVICES,-0.8648
1161,1,20171231,AMD,7903107,ADVANCED MICRO DEVICES,-5.6015
1161,1,20180131,AMD,7903107,ADVANCED MICRO DEVICES,33.6576
1161,1,20180228,AMD,7903107,ADVANCED MICRO DEVICES,-11.8632
1161,1,20180331,AMD,7903107,ADVANCED MICRO DEVICES,-17.0107
1161,1,20180430,AMD,7903107,ADVANCED MICRO DEVICES,8.2587
1161,1,20180531,AMD,7903107,ADVANCED MICRO DEVICES,26.1949
1161,1,20180630,AMD,7903107,ADVANCED MICRO DEVICES,9.177
1161,1,20180731,AMD,7903107,ADVANCED MICRO DEVICES,22.2815
1161,1,20180831,AMD,7903107,ADVANCED MICRO DEVICES,37.3159
1161,1,20180930,AMD,7903107,ADVANCED MICRO DEVICES,22.7255
1161,1,20181031,AMD,7903107,ADVANCED MICRO DEVICES,-41.0489
1161,1,20181130,AMD,7903107,ADVANCED MICRO DEVICES,16.9687
1161,1,20181231,AMD,7903107,ADVANCED MICRO DEVICES,-13.3333
1161,1,20190131,AMD,7903107,ADVANCED MICRO DEVICES,32.2319
1161,1,20190228,AMD,7903107,ADVANCED MICRO DEVICES,-3.6051
1161,1,20190331,AMD,7903107,ADVANCED MICRO DEVICES,8.4573
1161,1,20190430,AMD,7903107,ADVANCED MICRO DEVICES,8.268
1161,1,20190531,AMD,7903107,ADVANCED MICRO DEVICES,-0.7962
